Country Name,Country Code,Region,2015,2016,2017,2018,2019,2020
Comoros,COM,Africa,23600.0004,26799.9992,28000,35900.0015,45099.9985,7000
Chad,TCD,Africa,120000,98000,87000,63000,81000,10399.9996
Burkina Faso,BFA,Africa,163000,152000,143000,144000,143000,67000
Niger,NER,Africa,135000,152000,164000,157000,192000,85000
Madagascar,MDG,Africa,282000,333000,285000,360000,486000,87099.9985
Seychelles,SYC,Africa,296000,333000,382000,405000,428000,124500
Cabo Verde,CPV,Africa,520000,598000,668000,710000,758000,180000
Namibia,NAM,Africa,1488000,1551000,1581000,1639000,1651000,187100.006
"Gambia, The",GMB,Africa,449000,450000,522000,552000,620000,246000
Mauritius,MUS,Africa,1174000,1307000,1371000,1431000,1418000,316000
Eswatini,SWZ,Africa,1256000,1279000,1343000,1277000,1226000,345299.988
Uganda,UGA,Africa,1303000,1323000,1402000,1506000,1543000,473000
Togo,TGO,Africa,273000,338000,514000,573000,876000,482000
Zambia,ZMB,Africa,932000,956000,1009000,1072000,1266000,502000
Ethiopia,ETH,Africa,864000,871000,933000,849000,812000,518000
Algeria,DZA,Africa,1710000,2039000,2451000,2657000,2371000,591000
Zimbabwe,ZWE,Africa,2057000,2168000,2423000,2580000,2294000,639000
Cote d'Ivoire,CIV,Africa,1441000,1583000,1800000,1965000,2070000,668000
Tunisia,TUN,Africa,5359000,5724000,7052000,8299000,9429000,2012000
Morocco,MAR,Africa,10542000,10677000,11540000,12489000,13109000,2802000
South Africa,ZAF,Africa,13952000,15121000,14975000,15004000,14797000,3886600.1
Sao Tome and Principe,STP,Africa,25600.0004,28899.9996,28899.9996,33400.0015,,
Guinea-Bissau,GNB,Africa,43799.9992,45200.0008,49500,55000,52400.0015,
Sierra Leone,SLE,Africa,31000,60000,59000,66000,71000,
Central African Republic,CAF,Africa,120500,82000,107000,109000,87000,
"Congo, Rep.",COG,Africa,224000,213000,151000,158000,,
Mali,MLI,Africa,159000,173000,193000,203000,217000,
Angola,AGO,Africa,592000,397000,261000,218000,218000,
Benin,BEN,Africa,279000,292000,307000,322000,337000,
Sudan,SDN,Africa,741000,800000,813000,836000,,
Malawi,MWI,Africa,805000,849000,837000,871000,,
Cameroon,CMR,Africa,897000,994000,1081000,997000,1021000,
Lesotho,LSO,Africa,1082000,1196000,1137000,1173000,1142000,
Tanzania,TZA,Africa,1137000,1284000,1327000,1506000,1527000,
Rwanda,RWA,Africa,1298000,1377000,1570000,1711000,1634000,
Botswana,BWA,Africa,1660000,1712000,1775000,1830000,,
Kenya,KEN,Africa,1181000,1340000,1449000,2025000,2049000,
Mozambique,MOZ,Africa,1634000,1715000,1514000,2870000,2033000,
"Egypt, Arab Rep.",EGY,Africa,9328000,5399000,8292000,11346000,13026000,
Guinea,GIN,Africa,35000,63000,99000,,,
Burundi,BDI,Africa,131000,187000,299000,,,
Senegal,SEN,Africa,1014000,1219000,1376000,,,
Eritrea,ERI,Africa,114000,142000,,,,
"Congo, Dem. Rep.",COD,Africa,354000,351000,,,,
Nigeria,NGA,Africa,6017000,5265000,,,,
Ghana,GHA,Africa,897000,,,,,
Bhutan,BTN,Asia,155000,210000,255000,274000,316000,29799.9992
Mongolia,MNG,Asia,467000,471000,543000,598000,637000,66900.0015
West Bank and Gaza,PSE,Asia,432000,400000,503000,606000,688000,93000
Nepal,NPL,Asia,539000,753000,940000,1173000,1197000,230000
Armenia,ARM,Asia,1192000,1260000,1495000,1652000,1894000,375000
Sri Lanka,LKA,Asia,1993000,2168000,2248000,2521000,2027000,540000
Maldives,MDV,Asia,1234000,1286000,1390000,1484000,1703000,555000
Qatar,QAT,Asia,2941000,2938000,2256000,1819000,2136500,582000
Azerbaijan,AZE,Asia,2006000,2249000,2697000,2850000,3170000,796000
Oman,OMN,Asia,2634000,3207000,3178000,3242000,3506000,869000
Lao PDR,LAO,Asia,4684000,4239000,3869000,4186000,4791000,886400.024
Myanmar,MMR,Asia,4681000,2907000,3443000,3551000,4364000,903000
Jordan,JOR,Asia,4809000,4236000,4565000,4922000,5361000,1240000
Cambodia,KHM,Asia,4775000,5012000,5602000,6201000,6611000,1306000
Philippines,PHL,Asia,5361000,5967000,6621000,7168000,8261000,1483000
Georgia,GEO,Asia,5256000,5393000,6483000,7203000,7726000,1513000
"Iran, Islamic Rep.",IRN,Asia,5237000,4942000,4867000,7295000,9107000,1550000
Bahrain,BHR,Asia,9670000,10158000,11374000,12045000,11061000,1909000
Kazakhstan,KAZ,Asia,6430000,6509000,7701000,8789000,8515000,2035000
Kuwait,KWT,Asia,6941000,7055000,7407000,8508000,8565000,2161000
"Korea, Rep.",KOR,Asia,13232000,17242000,13336000,15347000,17503000,2519000
Singapore,SGP,Asia,15231500,16403000,17425000,18508000,19116000,2742000
"Hong Kong SAR, China",HKG,Asia,59308000,56655000,58472000,65148000,55913000,3569000
Viet Nam,VNM,Asia,7944000,10013000,12922000,15498000,18009000,3837000
Indonesia,IDN,Asia,10407000,11519000,14040000,15810000,16107000,4053000
Japan,JPN,Asia,19737000,24039000,28691000,31191000,31881000,4115799.8
Malaysia,MYS,Asia,25721000,26757000,25948000,25832000,26101000,4333000
"Macao SAR, China",MAC,Asia,30715000,30950000,32611000,35804000,39406000,5897000
United Arab Emirates,ARE,Asia,19313000,20894000,21805000,23092000,25282000,8084000
Turkiye,TUR,Asia,41114000,30907000,37970000,46113000,51747000,15971000
China,CHN,Asia,133820000,141774000,153260000,158606000,162538000,30402000
Timor-Leste,TLS,Asia,61599.9985,65599.9985,73900.0015,74599.9985,74800.0031,
Bangladesh,BGD,Asia,126000,182000,237000,267000,323000,
Tajikistan,TJK,Asia,414000,344000,431000,1035000,,
Lebanon,LBN,Asia,1518000,1688000,1857000,1964000,1936000,
Syrian Arab Republic,SYR,Asia,1043000,1291000,1802000,2424000,,
Uruguay,URY,Asia,3286000,3632000,4219000,3954000,3480000,
Cyprus,CYP,Asia,2780000,3286000,3750000,4024000,4117000,
Israel,ISR,Asia,3109000,3070000,3863000,4389000,4905000,
Brunei Darussalam,BRN,Asia,4257000,4316000,4521000,4449000,1071000,
Uzbekistan,UZB,Asia,1918000,2027000,2690000,5346000,6749000,
Kyrgyz Republic,KGZ,Asia,4000000,3853000,4568000,6947000,8508000,
India,IND,Asia,13284000,14570000,15543000,17423000,17914000,
Saudi Arabia,SAU,Asia,21834000,20887000,18607000,17570000,20292000,
Thailand,THA,Asia,29923000,32530000,35592000,38178000,39916000,
"Yemen, Rep.",YEM,Asia,398000,,,,,
Moldova,MDA,Europe,94400.0015,121000,145000,160000,174000,29000
Liechtenstein,LIE,Europe,56700.0008,69099.9985,79300.0031,85300.0031,98099.9985,58400.0015
North Macedonia,MKD,europe,486000,510000,631000,707000,758000,118000
Monaco,MCO,Europe,331000,336000,355000,347000,363000,159000
Bosnia and Herzegovina,BIH,Europe,678000,778000,923000,1053000,1198000,197000
Montenegro,MNE,Europe,1560000,1662000,1877000,2077000,2510000,351000
Serbia,SRB,Europe,1132000,1281000,1497000,1711000,1847000,446000
Iceland,ISL,Europe,1389000,1891000,2353000,2488000,2202000,488000
Luxembourg,LUX,Europe,1090000,1054000,1046000,1018000,1041000,525000
Malta,MLT,Europe,2383000,2592000,2944000,3232000,3519000,718000
Finland,FIN,Europe,2622000,2789000,3180000,3224000,3290000,896000
Slovenia,SVN,Europe,3022000,3397000,3991000,4425000,4702000,1216000
Norway,NOR,Europe,5361000,5960000,6252000,5688000,5879000,1397000
Estonia,EST,Europe,5696000,5942000,6145000,6033000,6103000,1695000
Sweden,SWE,Europe,6482000,6782000,7054000,7440000,7616000,1957000
Lithuania,LTU,Europe,5048000,5322000,5590000,6115000,6150000,2284000
Belgium,BEL,Europe,8355000,7481000,8385000,9119000,9343000,2584000
Albania,ALB,Europe,4131000,4736000,5118000,5927000,6406000,2658000
Latvia,LVA,Europe,6842000,6797000,7726000,7775000,8342000,3204000
Ukraine,UKR,Europe,13025000,13734000,14579000,14342000,13710000,3382000
Belarus,BLR,Europe,4386000,10935000,11060000,11502000,11832000,3598000
Portugal,PRT,Europe,11723000,13359000,15432000,16186000,17283000,4208000
Bulgaria,BGR,Europe,9317000,10604000,11596000,12368000,12552000,4973000
Romania,ROU,Europe,9331000,10223000,10926000,11720000,12815000,5023000
Andorra,AND,Europe,7850000,8025000,8152000,8328000,8235000,5207000
Russian Federation,RUS,Europe,33729000,24571000,24390000,24551000,24419000,6359000
Netherlands,NLD,Europe,15007000,15828000,17924000,18780000,20129000,7265000
Greece,GRC,Europe,26114000,28071000,30161000,33072000,34005000,7406000
United Kingdom,GBR,Europe,36792000,39129000,41080000,40283000,40857000,11101000
Germany,DEU,Europe,34970000,35555000,37452000,38881000,39563000,12449000
Austria,AUT,Europe,26728000,28121000,29460000,30816000,31884000,15091000
Denmark,DNK,Europe,28209000,28692000,30736000,30801000,33093000,15595000
Croatia,HRV,Europe,55858000,57587000,59238000,57668000,60021000,21608000
Hungary,HUN,Europe,48345000,52890000,54962000,57667000,61397000,31641000
Spain,ESP,Europe,109834000,115561000,121717000,124456000,126170000,36410000
Italy,ITA,Europe,81068000,84925000,89931000,93228601.6,95399000,38419000
France,FRA,Europe,203302000,203042000,207274000,211998000,217877000,117109000
San Marino,SMR,Europe,1888000,2000000,1937000,1874000,1904000,
Ireland,IRL,Europe,9528000,10100000,10338000,10926000,10951000,
Switzerland,CHE,Europe,9305000,10402000,11133000,11715000,11818000,
Slovak Republic,SVK,Europe,14936000,17376000,15406000,15299000,,
Czechia,CZE,Europe,29604000,32519000,34701000,36268000,37202000,
Poland,POL,Europe,77743000,80476000,83804000,85946000,88515000,
Bermuda,BMU,North America,597000,642000,688000,766000,805000,51400.0015
British Virgin Islands,VGB,North America,393000,408000,335000,192000,302399.994,83000
Dominica,DMA,North America,358000,356000,230000,199000,322000,140000
Trinidad and Tobago,TTO,North America,519000,492000,465000,501000,480000,141000
Grenada,GRD,North America,437000,474000,468000,529000,526000,217000
St. Kitts and Nevis,KNA,North America,1036000,1055000,1194000,1278000,1107000,301399.994
Turks and Caicos Islands,TCA,North America,1316000,1296000,1243000,1463000,1599000,370399.994
Antigua and Barbuda,ATG,North America,894000,874000,1040000,1064000,1035000,384500
St. Lucia,LCA,North America,1031000,948000,1064000,1165000,1220000,432500
Nicaragua,NIC,North America,1456000,1596000,1958000,1412000,1455000,474000
Belize,BLZ,North America,1299000,1391000,1441000,1697000,1674000,487000
Guatemala,GTM,North America,1865000,1906000,2120000,2406000,2560000,594000
Panama,PAN,North America,2553000,2379000,2517000,2487000,2494000,647000
Cayman Islands,CYM,North America,2102000,2097000,2147000,2384000,2334000,660000
Honduras,HND,North America,2093000,2228000,2144000,2323000,2315000,669000
El Salvador,SLV,North America,1973000,2052000,2247000,2536000,2639000,707000
Cuba,CUB,North America,3540000,4009000,4654000,4712000,4276000,1086000
Costa Rica,CRI,North America,2899000,3204000,3231000,3313000,3366000,1146500
Jamaica,JAM,North America,3692000,3837000,4276000,4319000,4233000,1329699.95
"Bahamas, The",BHS,North America,6112000,6265000,6136000,6622000,7250000,1794500
Dominican Republic,DOM,North America,6129000,6769000,7296000,7551000,7550000,2748000
Puerto Rico (US),PRI,North America,5051000,5003000,4927000,4260000,4931000,3882000
Virgin Islands (U.S.),VIR,North America,2643000,2574000,1954000,1922000,2074000,8612000
United States,USA,North America,176864531,175261484,174291750,169324922,165478000,45037000
Mexico,MEX,North America,87129000,94853000,99349000,96497000,97406000,51128000
